Id,Brand,Category,Name,Rating,Gender,Notes,Recommended Time,Year,Perfume Url
3535,Adidas,body spray,Adidas Team Force,,men,"Orange, Pineapple, Mandarin orange, Grapefruit, Juniper",daytime,2000,https://www.fragrancenet.com/cologne/adidas/adidas-team-force/body-spray#226289
3536,Aeropostale,body mist,Aeropostale Promise Me,,women,"Green Apple, White Tea, Green Apple",,2014,https://www.fragrancenet.com/perfume/aeropostale/aeropostale-promise-me/body-mist#311029
3537,Thierry Mugler,body cream,Alien,5,women,"Jasmine sambac, Cashmere wood, Amber gris",casual,2009,https://www.fragrancenet.com/perfume/thierry-mugler/alien/body-cream#297202
3538,Amouage,eau de parfum,Amouage Beach Hut Man,5,men,,,,https://www.fragrancenet.com/cologne/amouage/amouage-beach-hut-man/eau-de-parfum#309797
3539,Gilles Cantuel,eau de parfum,Arsenal Grey,5,men,,,N/A,https://www.fragrancenet.com/cologne/gilles-cantuel/arsenal-grey/eau-de-parfum#147610
3540,Estee Lauder,eau de parfum,Azuree,5,women,"fresh citrus, basil, sage, oakmoss & spearmint.",evening,1969,https://www.fragrancenet.com/perfume/estee-lauder/azuree/eau-de-parfum#264872
3541,Banana Republic,eau de parfum,Banana Republic Linen Vetiver,,unisex,,,,https://www.fragrancenet.com/fragrances/banana-republic/banana-republic-linen-vetiver/eau-de-parfum#326202
3542,Bentley,eau de parfum,Bentley For Men,,men,"Black pepper, Bergamot, Bay leaves, Clary Sage, Rum",,2013,https://www.fragrancenet.com/cologne/bentley/bentley-for-men/eau-de-parfum#318938
3543,Bentley,eau de parfum,Bentley Momentum Intense,,women,,,,https://www.fragrancenet.com/perfume/bentley/bentley-momentum-intense/eau-de-parfum#321604
3544,Victoria’s Secret,eau de parfum,Bombshell Wild Flower,,women,,,,https://www.fragrancenet.com/perfume/victoria-s-secret/bombshell-wild-flower/eau-de-parfum#332133
3545,Bond No. 9,eau de parfum,Bond No. 9 Chelsea Flowers,5,women,"Peony, Tulip, Magnolia, Sandalwood, Musk",,2003,https://www.fragrancenet.com/perfume/bond-no.-9/bond-no.-9-chelsea-flowers/eau-de-parfum#150711
3546,Bond No. 9,eau de parfum,Bond No. 9 Fire Island,1,unisex,"Cardamom, Neroli, White musk, Tuberose, Patchouli",casual,2006,https://www.fragrancenet.com/fragrances/bond-no.-9/bond-no.-9-fire-island/eau-de-parfum#207376
3547,Bond No. 9,eau de parfum,Bond No. 9 Union Square,5,women,"Grass, Lily-of-the-valley, Freesia, Birch, Musk",,2013,https://www.fragrancenet.com/perfume/bond-no.-9/bond-no.-9-union-square/eau-de-parfum#259922
3548,Hugo Boss,eau de parfum,Boss The Scent Intense,,women,,,,https://www.fragrancenet.com/perfume/hugo-boss/boss-the-scent-intense/eau-de-parfum#307506
3549,Boucheron,eau de toilette,Boucheron Quatre,,men,,,2015,https://www.fragrancenet.com/cologne/boucheron/boucheron-quatre/edt#274162
3550,Burberry,deodorant,Burberry Brit Splash,,men,"Rosemary, Melon, Galbanum, Cyclamen, Watery Notes",,2015,https://www.fragrancenet.com/cologne/burberry/burberry-brit-splash/deodorant#295412
3551,Bvlgari,body spray,Bvlgari Aqua,,men,"Mandarin, Petitgrain, Santolina, Posidonia, Amber",casual,2005,https://www.fragrancenet.com/cologne/bvlgari/bvlgari-aqua/body-spray#291184
3552,Bvlgari,shampoo,Bvlgari Aqua Marine,,men,"pine needle, oils, cedar wood",casual,2008,https://www.fragrancenet.com/cologne/bvlgari/bvlgari-aqua-marine/shampoo#166383
3553,Bvlgari,deodorant,Bvlgari Aqua Marine,,men,"pine needle, oils, cedar wood",casual,2008,https://www.fragrancenet.com/cologne/bvlgari/bvlgari-aqua-marine/deodorant#232859
3554,Bvlgari,soap,Bvlgari Man In Black,,men,"Tobacco, Spices, Rum, Leather, Tuberose",,2014,https://www.fragrancenet.com/cologne/bvlgari/bvlgari-man-in-black/soap#263031
3555,Bvlgari,eau de toilette spray 2.2 oz & body lotion 2 x 2.5 oz & pouch,Bvlgari Omnia Amethyste,,women,"Grapefruit , Green Sap, Bulgarian Rose, Iris, Solar Woods",casual,2007,https://www.fragrancenet.com/perfume/bvlgari/bvlgari-omnia-amethyste/edt-spray-2.2-oz-and-body-lotion-2-x-2.5-oz-and-pouch#325847
3556,Bvlgari,eau de parfum,Bvlgari Splendida Rose Rose,,women,"Mandarin Orange, Blackberry, Damask Rose, Sandalwood, Musk",,2017,https://www.fragrancenet.com/perfume/bvlgari/bvlgari-splendida-rose-rose/eau-de-parfum#302206
3557,Canali,shower gel,Canali,,men,"Nutmeg, Pineapple, Apple, Cardamom, Jasmine, Orange blossom, Violet, Leather, Oak musk, Sandalwood, Amber",daytime,2005,https://www.fragrancenet.com/cologne/canali/canali/shower-gel#160824
3558,Canali,deodorant,Canali,,men,"Nutmeg, Pineapple, Apple, Cardamom, Jasmine, Orange blossom, Violet, Leather, Oak musk, Sandalwood, Amber",daytime,2005,https://www.fragrancenet.com/cologne/canali/canali/deodorant#150833
3559,Carven,eau de toilette,Carven L'Eau Intense,,men,,,,https://www.fragrancenet.com/cologne/carven/carven-leau-intense/edt#319503
3560,Clean,shower gel,Clean Skin,3,women,"Mandarin Orange, Lemon, Rose, Neroli, Musk",,2018,https://www.fragrancenet.com/perfume/clean/clean-skin/shower-gel#252629
3561,Comptoir Sud Pacifique,eau de toilette,Comptoir Sud Pacifique Amour De Cacao,,women,"cocoa bean, orange zest, vanilla pod, star fruit",casual,1993,https://www.fragrancenet.com/perfume/comptoir-sud-pacifique/comptoir-sud-pacifique-amour-de-cacao/edt#155397
3562,Comptoir Sud Pacifique,eau de toilette,Comptoir Sud Pacifique Mora Bella,,women,A blend of sweet fruits and musk.,romantic,2005,https://www.fragrancenet.com/perfume/comptoir-sud-pacifique/comptoir-sud-pacifique-mora-bella/edt#132541
3563,Comptoir Sud Pacifique,eau de toilette,Comptoir Sud Pacifique Vanille Blackberry,,women,,,,https://www.fragrancenet.com/perfume/comptoir-sud-pacifique/comptoir-sud-pacifique-vanille-blackberry/edt#330176
3564,Costume National,eau de parfum,Costume National Scent Intense,,women,"Amber, Sandalwood, Patchouli, Hibiscus, Jasmine",,2002,https://www.fragrancenet.com/perfume/costume-national/costume-national-scent-intense/eau-de-parfum#214889
3565,Creed,perfume,Creed Acqua Fiorentina,5,women,"Plum, Apple, Rose, Pear, Bergamot",casual,2009,https://www.fragrancenet.com/perfume/creed/creed-acqua-fiorentina/perfume#310171
3566,Cuba,eau de toilette,Cuba Brown,,men,"Bergamot, Woodsy Notes, Oak Moss, Jasmine, Violet",daytime,1997,https://www.fragrancenet.com/cologne/cuba/cuba-brown/edt#178755
3567,Cuba,eau de toilette,Cuba City Las Vegas,,men,"Grapefruit, Pink pepper, Oakmoss, Galbanum, Patchouli",,N/A,https://www.fragrancenet.com/cologne/cuba/cuba-city-las-vegas/edt#263048
3568,Cuba,eau de toilette,Cuba Grey,5,men,"Lavender, Vetiver, Woodsy notes, Amber, Patchouli",romantic,N/A,https://www.fragrancenet.com/cologne/cuba/cuba-grey/edt#178753
3569,Britney Spears,eau de parfum,Curious Heart Britney Spears,3,women,"Magnolia, Pear, Lotus, Tuberose, Cyclamen",,2007,https://www.fragrancenet.com/perfume/britney-spears/curious-heart-britney-spears/eau-de-parfum#164133
3570,Sisley,eau de toilette,Eau De Campagne,,unisex,"Bergamot, Plum, Patchouli, Musk, Galbanum",daytime,1974,https://www.fragrancenet.com/fragrances/sisley/eau-de-campagne/edt#218367
3571,Rochas,eau de toilette,Eau De Rochas Fraiche,5,women,"Bergamot, White flowers, iris, Liatris, Musk",daytime,2010,https://www.fragrancenet.com/perfume/rochas/eau-de-rochas-fraiche/edt#242163
3572,Annick Goutal,eau de toilette,Eau d'Hadrien,5,men,"Sicilian lemon, Grapefruit, Green mandarin,  Cypress,  Ylang ylang",evening,1981,https://www.fragrancenet.com/cologne/annick-goutal/eau-dhadrien/edt#256540
3573,Elie Saab,eau de parfum,Elie Saab Essence No 6 Vetiver,,unisex,,,,https://www.fragrancenet.com/fragrances/elie-saab/elie-saab-essence-no-6-vetiver/eau-de-parfum#298194
3574,Elie Saab,eau de parfum,Elie Saab Essence No 7 Neroli,4,women,,,,https://www.fragrancenet.com/perfume/elie-saab/elie-saab-essence-no-7-neroli/eau-de-parfum#298186
3575,Escada,eau de parfum,Escada Especially Escada Elixir,5,women,"grapefruit, pear, ambrette (musk mallow), turkish rose, plum",,2013,https://www.fragrancenet.com/perfume/escada/escada-especially-escada-elixir/eau-de-parfum#243399
3576,Balmain,eau de parfum,Extatic Balmain,4,women,"Rose, Osmanthus, Pear, Orchid, Iris",,2014,https://www.fragrancenet.com/perfume/balmain/extatic-balmain/eau-de-parfum#317427
3577,French Connection,eau de toilette,Fcuk Forever Intense,,men,,,,https://www.fragrancenet.com/cologne/french-connection/fcuk-forever-intense/edt#331306
3578,French Connection,eau de parfum,Fcuk Friction,4.571,women,"Honeysuckle, Apple Blossom, Red Berries, Coconut, Spun Sugar",casual,2012,https://www.fragrancenet.com/perfume/french-connection/fcuk-friction/eau-de-parfum#220678
3579,French Connection,eau de parfum spray 3.4 oz & body lotion 8.4 oz & body mist 8.4 oz,Fcuk Friction,3.5,women,"Honeysuckle, Apple Blossom, Red Berries, Coconut, Spun Sugar",casual,2012,https://www.fragrancenet.com/perfume/french-connection/fcuk-friction/eau-de-parfum-spray-3.4-oz-and-body-lotion-8.4-oz-and-body-mist-8.4-oz#293370
3580,Fendi,body lotion,Fendi Fan Di Fendi,,women,"Tangerine, Pear, Black Currant, Rose, Jasmine",daytime,2010,https://www.fragrancenet.com/perfume/fendi/fendi-fan-di-fendi/body-lotion#216290
3581,Fendi,eau de parfum,Fendi L'Acquarossa,5,women,"Sicilian mandarin, Calabrian bergamot, Dried plum, Orange blossom, Rose",,2013,https://www.fragrancenet.com/perfume/fendi/fendi-lacquarossa/eau-de-parfum#291273
3582,Ferrari,eau de parfum,Ferrari Scuderia Forte,4,men,"Apple, Pineapple, Orange Blossom, Cinnamon, Cedar",,2017,https://www.fragrancenet.com/cologne/ferrari/ferrari-scuderia-forte/eau-de-parfum#301311
3583,Gianfranco Ferre,eau de toilette,Ferre Rose,,women,"Pomegranate, Watermelon, Peach, Mandarin, Rose, Gardenia, Orange Blossom, Freesia, Cedar, Vanilla, Sandalwood, Amber",casual,2007,https://www.fragrancenet.com/perfume/gianfranco-ferre/ferre-rose/edt#160907
3584,Elizabeth Arden,eau de parfum,Fifth Avenue Uptown Nyc,,women,"Pink pepper, White Wine, Petitgrain, Magnolia, Tonka Bean ",,2017,https://www.fragrancenet.com/perfume/elizabeth-arden/fifth-avenue-uptown-nyc/eau-de-parfum#302169
3585,Fred Hayman,cologne,Fred Hayman 273,4.5,men,"Lavender, Bergamot, Amber, Oakmoss, Musk",casual,1990,https://www.fragrancenet.com/cologne/fred-hayman/fred-hayman-273/cologne#120401
3586,Disney,body spray,Frozen Disney,,women,,,N/A,https://www.fragrancenet.com/perfume/disney/frozen-disney/body-spray#269277
3587,Elizabeth Arden,eau de toilette,Green Tea Bamboo,5,women,"Grapefruit, Lemon, Bergamot, Bamboo, Tamarind",,2014,https://www.fragrancenet.com/perfume/elizabeth-arden/green-tea-bamboo/edt#270371
3588,Gucci,eau de parfum spray 3 oz & body lotion 1.7 oz & eau de parfum rollerball .25 oz mini,Gucci Guilty Absolute Pour Femme,,women,"Pink Pepper, Bergamot, Blackberry, Cypress, Patchouli",,2018,https://www.fragrancenet.com/perfume/gucci/gucci-guilty-absolute-pour-femme/eau-de-parfum-spray-3-oz-and-body-lotion-1.7-oz-and-eau-de-parfum-rollerball-.25-oz-mini#332013
3589,Guerlain,eau de parfum,Guerlain Encens Mythique d'Orient,,unisex,,,,https://www.fragrancenet.com/fragrances/guerlain/guerlain-encens-mythique-dorient/eau-de-parfum#299265
3590,Guerlain,eau de toilette,Guerlain L'Homme Ideal Sport,,men,,,,https://www.fragrancenet.com/cologne/guerlain/guerlain-lhomme-ideal-sport/edt#303468
3591,Guerlain,eau de parfum,Guerlain Mon Exclusif,5,women,"Bergamot, Almond, Lavender, Iris, Sandalwood ",,2015,https://www.fragrancenet.com/perfume/guerlain/guerlain-mon-exclusif/eau-de-parfum#315396
3592,Guess,body spray,Guess Seductive Homme,,men,"Cardamom, Mandarin Orange, Pink Pepper, Vetiver, Violet Leaf",casual,2011,https://www.fragrancenet.com/cologne/guess/guess-seductive-homme/body-spray#252396
3593,Jesus del Pozo,eau de toilette,Halloween Kiss Sexy,5,women,"Amalfi lemon, Peach, Granny Smith apple, Freesia, Peony",casual,2009,https://www.fragrancenet.com/perfume/jesus-del-pozo/halloween-kiss-sexy/edt#192475
3594,Hermes,4 piece mini varity with un jardin en mediterranee & le jardin de monsieur li & un jardin sur le nil & un jardin sur le toit and all are eau de toilette .25 oz,Hermes Variety,,unisex,,,,https://www.fragrancenet.com/fragrances/hermes/hermes-variety/4-piece-mini-varity-with-un-jardin-en-mediterranee-and-le-jardin-de-monsieur-li-and-un-jardin-sur-le-nil-and-un-jardin-sur-le-toit-and-all-are-edt-.25-oz#300681
3595,Hollister,cologne,Hollister Jake,5,men,,,2005,https://www.fragrancenet.com/cologne/hollister/hollister-jake/cologne#307623
3596,Hummer,eau de toilette,Hummer 2,,men,"Cinnamon, Mandarin orange, Bergamot, Fir, Bourbon pepper",casual,2005,https://www.fragrancenet.com/cologne/hummer/hummer-2/edt#141261
3597,Salvatore Ferragamo,eau de parfum,Incanto,4.714,women,"Plum, Peach, Peony, Red Lily, Jasmine",casual,2003,https://www.fragrancenet.com/perfume/salvatore-ferragamo/incanto/eau-de-parfum#144358
3598,Salvatore Ferragamo,eau de toilette,Incanto Bliss,4.667,women,"Yuzu,  Kumquat, Apple, Freesia, Water lily",romantic,2009,https://www.fragrancenet.com/perfume/salvatore-ferragamo/incanto-bliss/edt#224076
3599,Jean Paul Gaultier,4 piece mini variety with 2 x jean paul gaultier eau de toilette & 2 x essence de parfume eau de parfum intense all are .24 oz minis,Jean Paul Gaultier Variety,,men,,,,https://www.fragrancenet.com/cologne/jean-paul-gaultier/jean-paul-gaultier-variety/4-piece-mini-variety-with-2-x-jean-paul-gaultier-edt-and-2-x-essence-de-parfume-edp-intense-all-are-.24-oz-minis#309518
3600,Jennifer Aniston,body mist,Jennifer Aniston Near Dusk,5,women,"Pink pepper, Nectarine, Coconut, Sea notes, Jasmine",,2015,https://www.fragrancenet.com/perfume/jennifer-aniston/jennifer-aniston-near-dusk/body-mist#287192
3601,Jo Malone,basil & neroli cologne spray 3.4 oz,Jo Malone,,women,"Lime, Mandarin orange, Bergamot, Basil, Lilac",,1999,https://www.fragrancenet.com/perfume/jo-malone/jo-malone/basil-and-neroli-cologne-spray-3.4-oz#296041
3602,Jovan,fired up cologne body spray 8.4 oz & aftershave cologne 2 oz,Jovan Heat Man,3,men,"Blackcurrant, Fig Leaf, Melon, Freesia, Violet Leaf",,2004,https://www.fragrancenet.com/cologne/jovan/jovan-heat-man/fired-up-cologne-body-spray-8.4-oz-and-aftershave-cologne-2-oz#140641
3603,Kenzo,eau de parfum,Kenzo Homme,5,men,"Cardamom, Mint, Citruses, Sage, Vetiver",,2016,https://www.fragrancenet.com/cologne/kenzo/kenzo-homme/eau-de-parfum#284587
3604,Kiton,eau de toilette,Kiton Black,,men,"Bergamot, Lemon, Cedar, Vetiver, Amber",,2007,https://www.fragrancenet.com/cologne/kiton/kiton-black/edt#152426
3605,L'Artisan Parfumeur,eau de parfum,L'Artisan Parfumeur Al Oudh,,men,"Agar, Vanilla, Patchouli, Cinnamon, Rose, And Moss.",romantic,2009,https://www.fragrancenet.com/cologne/lartisan-parfumeur/lartisan-parfumeur-al-oudh/eau-de-parfum#231343
3606,L'Artisan Parfumeur,eau de parfum,L'Artisan Parfumeur Mon Numero 10,,unisex,"Fennel, Bergamot, Pink pepper, Cinnamon, Cabreuva",,2011,https://www.fragrancenet.com/fragrances/lartisan-parfumeur/lartisan-parfumeur-mon-numero-10/eau-de-parfum#318661
3607,Yves Saint Laurent,eau de toilette spray 2 oz & all over shower gel 1.7 oz,La Nuit De L'Homme Yves Saint Laurent,,men,"Cardamom, Bergamot, Virginia Cedar, Lavender, Vetiver",casual,2009,https://www.fragrancenet.com/cologne/yves-saint-laurent/la-nuit-de-lhomme-yves-saint-laurent/edt-spray-2-oz-and-all-over-shower-gel-1.7-oz#332682
3608,Lalique,eau de parfum spray 4.2 oz & hair and body shower gel 5 oz,Lalique,,men,"Rosemary, Mandarin orange, Iris, Jasmine, Lily-of-the-valley",casual,1997,https://www.fragrancenet.com/cologne/lalique/lalique/eau-de-parfum-spray-4.2-oz-and-hair-and-body-shower-gel-5-oz#257736
3609,Lolita Lempicka,eau de parfum,Lolita Lempicka So Sweet,,women,,,,https://www.fragrancenet.com/perfume/lolita-lempicka/lolita-lempicka-so-sweet/eau-de-parfum#291208
3610,Dana,body wash,Loves Baby Soft,,women,"Lavender, Musk, Jasmine, Geranium, Patchouli",evening,1974,https://www.fragrancenet.com/perfume/dana/loves-baby-soft/body-wash#315157
3611,Dana,body spray,Loves Rainforest,,women,,,,https://www.fragrancenet.com/perfume/dana/loves-rainforest/body-spray#318663
3612,Dana,perfume,Lutece,5,women,"Mandarin orange, Brazilian rosewood, Geranium, Peony, Rosemary",romantic,1984,https://www.fragrancenet.com/perfume/dana/lutece/perfume#308474
3613,Juliette Has A Gun,eau de parfum,Mad Madame,5,women,"Rose, Amber, Black currant, Freesia, Peony",,2012,https://www.fragrancenet.com/perfume/juliette-has-a-gun/mad-madame/eau-de-parfum#228590
3614,Marc Ecko,hair and body wash,Marc Ecko Blue,,men,"Plum, Black Currant, Citruses, Lavender, Water Notes",daytime,2011,https://www.fragrancenet.com/cologne/marc-ecko/marc-ecko-blue/hair-and-body-wash#308692
3615,Marc Jacobs,eau de toilette,Marc Jacobs Daisy Dream Blush,5,women,"Violet, Water lily, Bergamot, Freesia, Rose",,2007,https://www.fragrancenet.com/perfume/marc-jacobs/marc-jacobs-daisy-dream-blush/edt#283734
3616,Dana,5 piece variety with canoe eau de toilette .5 oz & british sterling cologne .5 oz & british sterling him reserve eau de toilette .5 oz & valor eau de toilette .5 oz & english leather .6 oz & all are minis,Mens Dana Classic Variety,,men,,,,https://www.fragrancenet.com/cologne/dana/mens-dana-classic-variety/5-piece-variety-with-canoe-edt-.5-oz-and-british-sterling-cologne-.5-oz-and-british-sterling-him-reserve-edt-.5-oz-and-valor-edt-.5-oz-and-english-leather-.6-oz-and-all-are-minis#296743
3617,Michael Jordan,eau de toilette,Michael Jordan Energy,,men,"Grapefruit, Cardamom",,2014,https://www.fragrancenet.com/cologne/michael-jordan/michael-jordan-energy/edt#320791
3618,Britney Spears,shower gel,Midnight Fantasy Britney Spears,,women,"Plum, Sour cherry, Vanilla, Orchid, Amber",casual,2006,https://www.fragrancenet.com/perfume/britney-spears/midnight-fantasy-britney-spears/shower-gel#309672
3619,Mont Blanc,eau de toilette spray 3.3 oz & aftershave balm 3.3 oz & shower gel 3.3 oz,Mont Blanc Emblem Intense,,men,"Grapefruit, Clary Sage, Cardamom, Coriander, Violet Leaf",,2014,https://www.fragrancenet.com/cologne/mont-blanc/mont-blanc-emblem-intense/edt-spray-3.3-oz-and-aftershave-balm-3.3-oz-and-shower-gel-3.3-oz#275036
3620,Mont Blanc,aftershave,Mont Blanc Legend,,men,"Lavender, Bergamot, Lemon Verbena, Pineapple, Coumarin",casual,2011,https://www.fragrancenet.com/cologne/mont-blanc/mont-blanc-legend/aftershave#253455
3621,Moschino,eau de toilette,Moschino Forever,,men,"Bergamot, Star Anise, Black Pepper, Sandalwood And Musk.",casual,2011,https://www.fragrancenet.com/cologne/moschino/moschino-forever/edt#209258
3622,Estee Lauder,eau de toilette,Mustang,5,men,"Lemon, Lavender, Ginger, Pipe tobacco, Cedar",casual,2007,https://www.fragrancenet.com/cologne/estee-lauder/mustang/edt#252119
3623,Burberry,bathing soap 3.5 oz (set of three),My Burberry,5,women,"Bergamot, Grapefruit, Sweet Pea, Mandarin Orange, Freesia",,2014,https://www.fragrancenet.com/perfume/burberry/my-burberry/bathing-soap-3.5-oz-set-of-three#295413
3624,Narciso Rodriguez,eau de parfum spray 3.3 oz & body lotion 2.5 oz & eau de parfum spray .33 oz mini,Narciso Rodriguez,,women,,casual,2003,https://www.fragrancenet.com/perfume/narciso-rodriguez/narciso-rodriguez/eau-de-parfum-spray-3.3-oz-and-body-lotion-2.5-oz-and-eau-de-parfum-spray-.33-oz-mini#291146
3625,Nicole Miller,body mist,Nicole Miller Sweet Blossom,5,women,,,,https://www.fragrancenet.com/perfume/nicole-miller/nicole-miller-sweet-blossom/body-mist#331004
3626,Oscar de la Renta,eau de toilette,Oscar De La Renta Orange Flower,4,women,"Bergamot, Neroli, Orange Blossom, Amber, Jasmine",,2016,https://www.fragrancenet.com/perfume/oscar-de-la-renta/oscar-de-la-renta-orange-flower/edt#290721
3627,Paco Rabanne,aftershave,Paco Rabanne 1 Million,,men,"Grapefruit, Mint, Blood orange, Rose, Cinnamon",casual,2008,https://www.fragrancenet.com/cologne/paco-rabanne/paco-rabanne-1-million/aftershave#162534
3628,Paco Rabanne,eau de parfum,Paco Rabanne Lady Million Prive,5,women,"Orange blossom, Raspberry, Heliotrope, Vanilla, Patchouli",,2010,https://www.fragrancenet.com/perfume/paco-rabanne/paco-rabanne-lady-million-prive/eau-de-parfum#288606
3629,Parfums de Marly,eau de parfum spray refill 3 x .34 oz mini,Parfums De Marly Delina,5,women,"Bergamot, Rhubarb, Rose, Peony, Vetiver",,2017,https://www.fragrancenet.com/perfume/parfums-de-marly/parfums-de-marly-delina/eau-de-parfum-spray-refill-3-x-.34-oz-mini#326839
3630,Original Penguin,eau de toilette,Penguin Reserve,,men,"Italian Mandarin, Juniper Berry, Red Grapefruit, Cardamom, Clove",,2013,https://www.fragrancenet.com/cologne/original-penguin/penguin-reserve/edt#238943
3631,Penhaligon's,eau de toilette,Penhaligon's Bayolea,4.5,men,"Mandarin orange, Tangerine, Lemongrass, Cardamom, Black pepper",,2014,https://www.fragrancenet.com/cologne/penhaligons/penhaligons-bayolea/edt#258463
3632,Perry Ellis,eau de parfum spray 3.4 oz & body mist 4 oz & hand cream 2 oz & eau de parfum spray .25 oz mini,Perry Ellis 360 Purple,,women,"Peach, Blackberry, Apple blossom, Pink rose, Lily of the valley",,2013,https://www.fragrancenet.com/perfume/perry-ellis/perry-ellis-360-purple/eau-de-parfum-spray-3.4-oz-and-body-mist-4-oz-and-hand-cream-2-oz-and-eau-de-parfum-spray-.25-oz-mini#310797
3633,Perry Ellis,body mist,Perry Ellis 360 Red,,women,"Fruits, orchids, woods and musk, delightful and sensuous.",romantic,2003,https://www.fragrancenet.com/perfume/perry-ellis/perry-ellis-360-red/body-mist#293807
3634,Philosophy,eau de toilette,Philosophy Living Grace,,women,"Musk, Neroli, Lily-of-the-Valley",,2012,https://www.fragrancenet.com/perfume/philosophy/philosophy-living-grace/edt#307483
3635,Pierre Cardin,deodorant,Pierre Cardin L'Intense,,men,,,,https://www.fragrancenet.com/cologne/pierre-cardin/pierre-cardin-lintense/deodorant#287116
3636,Pino Silvestre,deodorant,Pino Silvestre,5,men,"Juniper Berries, Lavender, Basil, Bergamot, Lemon",romantic,1955,https://www.fragrancenet.com/cologne/pino-silvestre/pino-silvestre/deodorant#141041
3637,Playboy,eau de toilette,Playboy Malibu,,men,"Neroli, Lemon verbena, Granny smith apple, Mint, Iris",evening,2008,https://www.fragrancenet.com/cologne/playboy/playboy-malibu/edt#165804
3638,Playboy,eau de toilette,Playboy Vip,5,women,"Peony, Nectarine, Orange blossom, Sugar, Red apple",,2012,https://www.fragrancenet.com/perfume/playboy/playboy-vip/edt#247222
3639,Porsche Design,eau de toilette,Porsche Design Titan,,men,"Grapefruit, Mint, Black Pepper, Basil, Lavender",,2012,https://www.fragrancenet.com/cologne/porsche-design/porsche-design-titan/edt#246976
3640,Prada,eau de toilette spray 3.4 oz & shower cream 3.4 oz & eau de toilette spray .34 oz mini,Prada L'Homme L'Eau,,men,,,,https://www.fragrancenet.com/cologne/prada/prada-lhomme-leau/edt-spray-3.4-oz-and-shower-cream-3.4-oz-and-edt-spray-.34-oz-mini#318639
3641,Prada,5 piece mini variety with les infusion de prada iris & les infusion de prada fleur d' oranger & prada candy & prada candy florale & prada candy l'eau and all are minis,Prada Variety,4.5,women,,,,https://www.fragrancenet.com/perfume/prada/prada-variety/5-piece-mini-variety-with-les-infusion-de-prada-iris-and-les-infusion-de-prada-fleur-d-oranger-and-prada-candy-and-prada-candy-florale-and-prada-candy-leau-and-all-are-minis#289197
3642,Puma,deodorant,Puma Animagical,,men,"Apple, Cardamom, Basil, Pineapple, And Rosemary.",casual,2010,https://www.fragrancenet.com/cologne/puma/puma-animagical/deodorant#284561
3643,Yves De Sistelle,eau de parfum,Sanderling,5,women,"Bergamot, Tagetes, Green notes, Jasmine, Tincture of rose",casual,2011,https://www.fragrancenet.com/perfume/yves-de-sistelle/sanderling/eau-de-parfum#193873
3644,Serge Lutens,eau de parfum,Serge Lutens Arabie,,women,"Nutmeg, Caraway, Siam benzoin, Sandalwood, Bay leaf",casual,2000,https://www.fragrancenet.com/perfume/serge-lutens/serge-lutens-arabie/eau-de-parfum#192038
3645,Serge Lutens,eau de parfum,Serge Lutens Le Participe Passe,,unisex,"Artemisia, Bergamot, Pepper, Patchouli, Cumin",,2018,https://www.fragrancenet.com/fragrances/serge-lutens/serge-lutens-le-participe-passe/eau-de-parfum#311198
3646,Shakira,eau de toilette,Shakira Elixir,5,women,"Orange Blossom, Black Pepper, Peony, Freesia, Amber, Musk, And Brown Sugar.",casual,2012,https://www.fragrancenet.com/perfume/shakira/shakira-elixir/edt#230585
3647,Salvatore Ferragamo,eau de parfum spray 3.4 oz & eau de parfum spray .34 oz mini,Signorina Misteriosa,,women,"Blackberry, Neroli, Tuberose, Orange blossom, Patchouli",,2016,https://www.fragrancenet.com/perfume/salvatore-ferragamo/signorina-misteriosa/eau-de-parfum-spray-3.4-oz-and-eau-de-parfum-spray-.34-oz-mini#314468
3648,Loewe,eau de toilette,Solo Loewe Cedro,5,men,"Mandarin Orange, Pink Pepper, Lavender, Nutmeg, Cedar",,2014,https://www.fragrancenet.com/cologne/loewe/solo-loewe-cedro/edt#295604
3649,Liz Claiborne,soap,Spark,,women,"Caramel, Rose, Orchid, Cinnamon, Musk",romantic,2003,https://www.fragrancenet.com/perfume/liz-claiborne/spark/soap#139734
3650,Elizabeth Arden,eau de toilette,Sunflowers Sunlight Kiss,,women,"Bergamot, Japanese Loquat, Mandarin Orange, Rose, Cyclamen",,2017,https://www.fragrancenet.com/perfume/elizabeth-arden/sunflowers-sunlight-kiss/edt#302178
3651,Alfred Sung,deodorant,Sung,5,men,"Caraway, Juniper Berries, Pepper, Artemisia, Basil",casual,1989,https://www.fragrancenet.com/cologne/alfred-sung/sung/deodorant#132913
3652,Givenchy,eau de toilette,Tartine Et Chocolate,5,men,"Orange, Galbanum, Lemon, Honeysuckle, Jasmine",,1988,https://www.fragrancenet.com/cologne/givenchy/tartine-et-chocolate/edt#123036
3653,Annick Goutal,eau de parfum,Tenue De Soiree,,women,,,,https://www.fragrancenet.com/perfume/annick-goutal/tenue-de-soiree/eau-de-parfum#331336
3654,Tom Ford,eau de parfum,Tom Ford Mandarino Di Amalfi,4.333,unisex,"Tarragon, Mint, Black currant, Grapefruit, Lemon",,2014,https://www.fragrancenet.com/fragrances/tom-ford/tom-ford-mandarino-di-amalfi/eau-de-parfum#300475
3655,Fred Hayman,shower gel,Touch,,women,"Orange blossom, Plum, Peach, Bergamot, Lemon",casual,1993,https://www.fragrancenet.com/perfume/fred-hayman/touch/shower-gel#196400
