Id,Brand,Category,Name,Rating,Gender,Notes,Recommended Time,Year,Perfume Url
2571,Perry Ellis,eau de parfum spray 3.4 oz & body mist spray 4 oz & hand cream 2 oz & eau de parfum spray 0.33 oz mini,Perry Ellis Reserve,,women,"Chamomile, Lotus, Ginger, Rose, Marigold",daytime,2002,https://www.fragrancenet.com/perfume/perry-ellis/perry-ellis-reserve/eau-de-parfum-spray-3.4-oz-and-body-mist-spray-4-oz-and-hand-cream-2-oz-and-eau-de-parfum-spray-0.33-oz-mini#303342
2572,Pitbull,body mist,Pitbull Woman,5,women,"Raspberry, Mandarin Orange, Red Apple, Freesia, Jasmine",,2013,https://www.fragrancenet.com/perfume/pitbull/pitbull-woman/body-mist#285389
2573,Prada,eau de parfum,Prada Candy Sugar Pop,3,women,"Bergamot, Apple, Peach, Vanilla, Caramel",,2018,https://www.fragrancenet.com/perfume/prada/prada-candy-sugar-pop/eau-de-parfum#320797
2574,Revelations Perfumes,eau de parfum,Prince 3121,4.7,women,"Gardenia, Jasmine, Bergamot, Tuberose, Orange Blossom",casual,2007,https://www.fragrancenet.com/perfume/revelations-perfumes/prince-3121/eau-de-parfum#253287
2575,Rihanna,body mist,Rihanna Nude,5,women,"guava, mandarin orange, pear",,2012,https://www.fragrancenet.com/perfume/rihanna/rihanna-nude/body-mist#257943
2576,Serge Lutens,eau de parfum,Serge Lutens Datura Noir,4.5,women,"Coconut, Tuberose, Tonka bean, Almond, Lemon blossom",romantic,2001,https://www.fragrancenet.com/perfume/serge-lutens/serge-lutens-datura-noir/eau-de-parfum#192045
2577,Aquolina,eau de toilette,Simply Pink,3.889,women,"Bergamot, Raspberry, Almond, White flowers, Jasmine",,2013,https://www.fragrancenet.com/perfume/aquolina/simply-pink/edt#244200
2578,St Dupont,eau de toilette,St Dupont,5,men,"Lemon, Galbanum, Coriander, Artemisia, Iris",romantic,1998,https://www.fragrancenet.com/cologne/st-dupont/st-dupont/edt#123780
2579,Stella McCartney,eau de parfum,Stella Mccartney Pop,4,women,"Tomato Leaf, Mandarin Orange, Frangipani, Violet, Tuberose",,2016,https://www.fragrancenet.com/perfume/stella-mccartney/stella-mccartney-pop/eau-de-parfum#299596
2580,Tom Ford,eau de parfum,Tom Ford Tobacco Oud Intense,5,unisex,"Coriander, Tobacco, Cedar, Patchouli, Tonka Bean",,2017,https://www.fragrancenet.com/fragrances/tom-ford/tom-ford-tobacco-oud-intense/eau-de-parfum#310943
2581,Gianni Versace,eau de parfum spray 1.7 oz & body lotion 1.7 oz & shower gel 1.7 oz,Versace Dylan Blue,,women,,,,https://www.fragrancenet.com/perfume/gianni-versace/versace-dylan-blue/eau-de-parfum-spray-1.7-oz-and-body-lotion-1.7-oz-and-shower-gel-1.7-oz#315305
